time,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentation_impact,number_of_articulation_points,articulation_points_percentage,density,number_of_cars
0,0,0,0,0,0,0,0,0,0,0.9852,29
1,0,0,0,0,0,0,0,0,0,0.2564,40
2,0,0,0,0,0,0,0,0,0,0.4252,49
3,0,0,0,0,0,0,0,0,0,0.2347,72
4,0,0,0,0,0,0,0,0,0,0.2645,83
5,0,0,0,0,0,0,0,0,0,0.4884,91
6,0,0,0,0,0,0,0,0,0,0.4296,97
7,0,0,0,0,0,0,0,0,0,0.3879,107
8,0,0,0,0,0,0,0,0,0,0.2942,108
9,0,0,0,0,0,0,0,0,0,0.2849,116
10,0,0,0,0,0,0,0,0,0,0.2463,118
11,0,0,0,0,0,0,0,0,0,0.1931,112
12,0,0,0,0,0,0,0,0,0,0.237,113
13,0,0,0,0,0,0,0,0,0,0.2427,104
14,0,0,0,0,0,0,0,0,0,0.3276,111
15,0,0,0,0,0,0,0,0,0,0.3537,117
16,0,0,0,0,0,0,0,0,0,0.2204,121
17,0,0,0,0,0,0,0,0,0,0.3133,119
18,0,0,0,0,0,0,0,0,0,0.2066,121
19,0,0,0,0,0,0,0,0,0,0.2457,111
20,0,0,0,0,0,0,0,0,0,0.1994,119
21,0,0,0,0,0,0,0,0,0,0.4126,117
22,0,0,0,0,0,0,0,0,0,0.3732,123
23,0,0,0,0,0,0,0,0,0,0.303,121
24,0.0003051,2,0.01957,0.0002329,1,0,1,1,0.8621,0.3598,116
25,0,0,0,0,0,0,0,0,0,0.3684,117
26,0,0,0,0,0,0,0,0,0,0.344,111
27,0,0,0,0,0,0,0,0,0,0.4192,114
28,0,0,0,0,0,0,0,0,0,0.2463,118
29,0,0,0,0,0,0,0,0,0,0.4665,123
30,0,0,0,0,0,0,0,0,0,0.2584,128
31,0,0,0,0,0,0,0,0,0,0.2452,125
32,0,0,0,0,0,0,0,0,0,0.2421,119
33,0,0,0,0,0,0,0,0,0,0.2132,123
34,0,0,0,0,0,0,0,0,0,0.2624,130
35,0,0,0,0,0,0,0,0,0,0.1304,118
36,0,0,0,0,0,0,0,0,0,0.3105,114
37,0,0,0,0,0,0,0,0,0,0.3398,109
38,0,0,0,0,0,0,0,0,0,0.2981,122
39,0,0,0,0,0,0,0,0,0,0.2092,128
40,0,0,0,0,0,0,0,0,0,0.2982,130
41,0,0,0,0,0,0,0,0,0,0.3703,134
42,0,0,0,0,0,0,0,0,0,0.4938,134
43,0,0,0,0,0,0,0,0,0,0.3459,130
44,0,0,0,0,0,0,0,0,0,0.2743,130
45,0,0,0,0,0,0,0,0,0,0.381,126
46,0,0,0,0,0,0,0,0,0,0.2806,134
47,0,0,0,0,0,0,0,0,0,0.2845,122
48,0,0,0,0,0,0,0,0,0,0.3276,119
49,0.0001526,2,0.01739,1.142e-79,1,0,1,1,0.8621,0.4798,116
50,0,0,0,0,0,0,0,0,0,0.3003,113
51,0,0,0,0,0,0,0,0,0,0.3242,117
52,0,0,0,0,0,0,0,0,0,0.2899,115
53,0,0,0,0,0,0,0,0,0,0.2888,109
54,0,0,0,0,0,0,0,0,0,0.2293,111
55,0,0,0,0,0,0,0,0,0,0.2639,114
56,0,0,0,0,0,0,0,0,0,0.2845,113
57,0,0,0,0,0,0,0,0,0,0.3683,126
58,0,0,0,0,0,0,0,0,0,0.3097,125
59,0,0,0,0,0,0,0,0,0,0.2849,116
