tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,0.0033,2.0000,0.0800,0.0000,1.0000,0.0000,1.0000,0.0000,6.1538,26.0000
7,1,0.0033,2.0000,0.0800,0.0000,1.0000,0.0000,1.0000,0.0000,6.1538,26.0000
8,2,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.5862,14.5000
9,2,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.5862,14.5000
10,5,0.0223,2.8000,0.1226,0.2881,1.0000,0.0000,1.0000,0.0000,0.6452,6.2000
11,5,0.0223,2.8000,0.1226,0.2881,1.0000,0.0000,1.0000,0.0000,0.6452,6.2000
12,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.9557,29.0000
15,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.9557,29.0000
16,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,2,0.0553,3.5000,0.2087,0.2205,1.0000,0.0000,1.5000,0.0000,3.2609,12.0000
21,2,0.0553,3.5000,0.2087,0.2205,1.0000,0.0000,1.5000,0.0000,3.2609,12.0000
22,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.4631,29.0000
23,1,0.0026,2.0000,0.0714,0.0000,1.0000,0.0000,1.0000,0.0000,2.4631,29.0000
24,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,3,0.0411,3.0000,0.1473,0.1358,1.0000,0.0000,1.0000,0.0000,1.8391,10.0000
27,3,0.0411,3.0000,0.1473,0.1358,1.0000,0.0000,1.0000,0.0000,1.8391,10.0000
28,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,2,0.0216,3.5000,0.1759,0.5181,1.0000,0.0000,1.0000,0.0000,2.1739,11.5000
31,2,0.0216,3.5000,0.1759,0.5181,1.0000,0.0000,1.0000,0.0000,2.1739,11.5000
32,2,0.0812,4.0000,0.2353,0.1478,1.0000,0.0000,1.0000,0.0000,4.7619,14.0000
33,2,0.0812,4.0000,0.2353,0.1478,1.0000,0.0000,1.0000,0.0000,4.7619,14.0000
34,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,1.0000,0.0000,2.2792,27.0000
37,1,0.0031,2.0000,0.0769,0.0000,1.0000,0.0000,1.0000,0.0000,2.2792,27.0000
38,2,0.0067,2.0000,0.0900,0.0000,1.0000,0.0000,1.0000,0.0000,2.1538,13.0000
39,2,0.0067,2.0000,0.0900,0.0000,1.0000,0.0000,1.0000,0.0000,2.1538,13.0000
40,2,0.0217,3.0000,0.1488,0.0000,1.0000,0.0000,1.0000,0.0000,2.8333,12.5000
41,2,0.0217,3.0000,0.1488,0.0000,1.0000,0.0000,1.0000,0.0000,2.8333,12.5000
42,2,0.0105,2.5000,0.1250,0.3536,1.0000,0.0000,1.5000,0.0000,1.6667,10.5000
43,2,0.0105,2.5000,0.1250,0.3536,1.0000,0.0000,1.5000,0.0000,1.6667,10.5000
44,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,1,0.0855,6.0000,0.2721,0.3022,1.0000,0.0000,1.0000,0.0000,8.9947,28.0000
47,1,0.0855,6.0000,0.2721,0.3022,1.0000,0.0000,1.0000,0.0000,8.9947,28.0000
48,1,0.0060,4.0000,0.1250,0.5236,1.0000,0.0000,1.0000,0.0000,3.2197,33.0000
49,1,0.0060,4.0000,0.1250,0.5236,1.0000,0.0000,1.0000,0.0000,3.2197,33.0000
50,4,0.0067,2.0000,0.0900,0.4253,1.0000,0.0000,1.0000,0.0000,0.6923,6.5000
51,4,0.0067,2.0000,0.0900,0.4253,1.0000,0.0000,1.0000,0.0000,0.6923,6.5000
52,2,0.0066,3.0000,0.1071,0.3077,1.0000,0.0000,1.0000,0.0000,1.4778,14.5000
53,2,0.0066,3.0000,0.1071,0.3077,1.0000,0.0000,1.0000,0.0000,1.4778,14.5000
54,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,4,0.0231,3.0000,0.1309,0.2689,1.0000,0.0000,1.0000,0.0000,1.0585,8.0000
57,4,0.0231,3.0000,0.1309,0.2689,1.0000,0.0000,1.0000,0.0000,1.0585,8.0000
58,1,0.0062,3.0000,0.1154,0.6116,1.0000,0.0000,1.0000,0.0000,3.7037,27.0000
59,1,0.0062,3.0000,0.1154,0.6116,1.0000,0.0000,1.0000,0.0000,3.7037,27.0000
60,4,0.0043,2.0000,0.0787,0.3008,1.0000,0.0000,1.0000,0.0000,0.7275,7.0000
61,4,0.0043,2.0000,0.0787,0.3008,1.0000,0.0000,1.0000,0.0000,0.7275,7.0000
62,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,3,0.0051,2.6667,0.1026,0.2883,1.0000,0.0000,1.0000,0.0000,1.1396,9.0000
65,3,0.0051,2.6667,0.1026,0.2883,1.0000,0.0000,1.0000,0.0000,1.1396,9.0000
66,4,0.0392,3.2500,0.1471,0.2399,1.0000,0.0000,1.2500,0.0000,0.9921,7.0000
67,4,0.0392,3.2500,0.1471,0.2399,1.0000,0.0000,1.2500,0.0000,0.9921,7.0000
68,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,4,0.0107,2.5000,0.1062,0.3514,1.0000,0.0000,1.0000,0.0000,0.7275,7.0000
73,4,0.0107,2.5000,0.1062,0.3514,1.0000,0.0000,1.0000,0.0000,0.7275,7.0000
74,1,0.0031,2.0000,0.0769,0.7071,1.0000,0.0000,1.0000,0.0000,1.1396,27.0000
75,1,0.0031,2.0000,0.0769,0.7071,1.0000,0.0000,1.0000,0.0000,1.1396,27.0000
76,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,1,0.0033,2.0000,0.0800,0.0000,1.0000,0.0000,1.0000,0.0000,4.3077,26.0000
79,1,0.0033,2.0000,0.0800,0.0000,1.0000,0.0000,1.0000,0.0000,4.3077,26.0000
80,1,0.0048,2.0000,0.0952,0.0000,1.0000,0.0000,1.0000,0.0000,3.4632,22.0000
81,1,0.0048,2.0000,0.0952,0.0000,1.0000,0.0000,1.0000,0.0000,3.4632,22.0000
82,2,0.0057,2.0000,0.0833,0.0000,1.0000,0.0000,1.0000,0.0000,3.0423,14.0000
83,2,0.0057,2.0000,0.0833,0.0000,1.0000,0.0000,1.0000,0.0000,3.0423,14.0000
84,4,0.0100,3.0000,0.1283,0.2529,1.5000,140.4117,1.0000,0.0000,0.9231,6.5000
85,4,0.0100,3.0000,0.1283,0.2529,1.5000,140.4117,1.0000,0.0000,0.9231,6.5000
86,1,0.0099,4.0000,0.1379,0.0000,1.0000,0.0000,1.0000,0.0000,5.0575,30.0000
87,1,0.0099,4.0000,0.1379,0.0000,1.0000,0.0000,1.0000,0.0000,5.0575,30.0000
88,3,0.0427,2.6667,0.1442,0.1026,1.0000,0.0000,1.0000,0.0000,1.6092,10.0000
89,3,0.0427,2.6667,0.1442,0.1026,1.0000,0.0000,1.0000,0.0000,1.6092,10.0000
90,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,3,0.0086,3.0000,0.1107,0.2378,1.0000,0.0000,1.0000,0.0000,0.9409,10.6667
93,3,0.0086,3.0000,0.1107,0.2378,1.0000,0.0000,1.0000,0.0000,0.9409,10.6667
94,2,0.0360,4.0000,0.1644,0.2726,1.0000,0.0000,1.0000,0.0000,1.8717,17.0000
95,2,0.0360,4.0000,0.1644,0.2726,1.0000,0.0000,1.0000,0.0000,1.8717,17.0000
96,2,0.0897,4.5000,0.2365,0.2472,1.0000,0.0000,1.5000,0.0000,3.7037,14.0000
97,2,0.0897,4.5000,0.2365,0.2472,1.0000,0.0000,1.5000,0.0000,3.7037,14.0000
98,3,0.0202,4.0000,0.1589,0.2332,1.3333,14.6779,1.0000,0.0000,1.8308,11.0000
99,3,0.0202,4.0000,0.1589,0.2332,1.3333,14.6779,1.0000,0.0000,1.8308,11.0000
100,1,0.0303,5.0000,0.1921,0.1440,1.0000,0.0000,1.0000,0.0000,6.3492,36.0000
101,1,0.0303,5.0000,0.1921,0.1440,1.0000,0.0000,1.0000,0.0000,6.3492,36.0000
102,3,0.0041,2.0000,0.0747,0.0000,1.0000,0.0000,1.0000,0.0000,0.9195,10.0000
103,3,0.0041,2.0000,0.0747,0.0000,1.0000,0.0000,1.0000,0.0000,0.9195,10.0000
104,2,0.0142,3.5000,0.1433,0.5181,1.0000,0.0000,1.0000,0.0000,1.5873,14.0000
105,2,0.0142,3.5000,0.1433,0.5181,1.0000,0.0000,1.0000,0.0000,1.5873,14.0000
106,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
108,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
110,1,0.0246,4.0000,0.1731,0.3777,1.0000,0.0000,1.0000,0.0000,5.1282,27.0000
111,1,0.0246,4.0000,0.1731,0.3777,1.0000,0.0000,1.0000,0.0000,5.1282,27.0000
